Author_id	Author_Affilition	Date
AU_13000	University of Chicago	1953
AU_13001	University of California, Berkeley	1968
AU_13002	University of Arizona	1968
AU_13003	Northwestern University	1971
AU_13004	Dartmouth College	1973
AU_13005	University of Illinois	1973
AU_13006	University of California, Berkeley	1973
AU_13007	University of Hawai'i	1974
AU_13008	McGill University	1974
AU_13009	University of Chicago	1974
AU_13010	University of Chicago	1974
AU_13011	Northwestern University	1975
AU_13012	University of Washington	1975
AU_13013	Indiana University	1975
AU_13014	Wayne State University	1975
AU_13015	University of Texas, Austin	1975
AU_13016	University of California, Berkeley	1975
AU_13017	University of Pennsylvania	1975
AU_13018	Colorado State University	1975
AU_13019	Wayne State University	1975
AU_13020	University of Colorado, Boulder	1975
AU_13021	University of Colorado, Boulder	1975
AU_13022	Harvard University	1975
AU_13023	University of California, Riverside	1975
AU_13024	University of Chicago	1975
AU_13025	University of Illinois	1975
AU_13026	Ohio State University	1976
AU_13027	Yale University	1976
AU_13028	University of Michigan	1976
AU_13029	University of California, Berkeley	1976
AU_13030	Northwestern University	1976
AU_13031	Yale University	1976
AU_13032	Northwestern University	1976
AU_13033	Ohio State University	1976
AU_13034	University of Calgary	1976
AU_13035	University of Oregon	1976
AU_13036	University of California, Berkeley	1976
AU_13037	California Institute of Integral Studies (CIIS)	1976
AU_13038	University of Illinois, Urbana-Champaign	1976
AU_13039	University of North Carolina, Chapel Hill	1977
AU_13040	University of Arizona	1977
AU_13041	Harvard University	1977
AU_13042	University of Illinois	1977
AU_13043	University of Illinois, Urbana-Champaign	1977
AU_13044	Ohio State University	1977
AU_13045	Wayne State University	1977
AU_13046	University of Texas, Austin	1977
AU_13047	Harvard University	1977
AU_13048	University of California, Davis	1977
AU_13049	Duke University	1977
AU_13050	University of California, Berkeley	1977
AU_13051	Indiana University	1977
AU_13052	University of Colorado, Boulder	1977
AU_13053	New York University	1977
AU_13054	University of California, Berkeley	1977
AU_13055	University of Illinois, Urbana-Champaign	1978
AU_13056	Wayne State University	1978
AU_13057	Wayne State University	1978
AU_13058	University of Cincinnati	1978
AU_13059	University of Pittsburgh	1978
AU_13060	New York University	1978
AU_13061	Rutgers The State University of New Jersey, New Brunswick	1978
AU_13062	University of California, Los Angeles	1978
AU_13063	University of Toronto	1978
AU_13064	State University of New York, Stony Brook	1978
AU_13065	Wayne State University	1978
AU_13066	University of California, Berkeley	1978
AU_13067	Duke University	1978
AU_13068	Brigham Young University	1978
AU_13069	Ohio State University	1978
AU_13070	University of Illinois	1978
AU_13071	New York University	1978
AU_13072	Johns Hopkins University	1978
AU_13073	University of California, Davis	1978
AU_13074	University of California, Davis	1978
AU_13075	Yale University	1978
AU_13076	University of Toronto	1978
AU_13077	Pennsylvania State University	1979
AU_13078	Union Institute and University	1979
AU_13079	University of California, Los Angeles	1979
AU_13080	University of Arizona	1979
AU_13081	Indiana University	1979
AU_13082	University of Illinois, Urbana-Champaign	1979
AU_13083	Indiana University	1979
AU_13084	University of Wisconsin - Madison	1979
AU_13085	City University of New York	1979
AU_13086	University of Connecticut	1979
AU_13087	Harvard University	1979
AU_13088	University of Wisconsin - Madison	1979
AU_13089	University of California, Davis	1979
AU_13090	Harvard University	1979
AU_13091	University of Illinois, Urbana-Champaign	1979
AU_13092	Ohio State University	1979
AU_13093	University of Michigan	1979
AU_13094	Indiana University	1979
AU_13095	University of Washington	1980
AU_13096	University of Texas, Austin	1980
AU_13097	Ohio State University	1980
AU_13098	University of Texas, Austin	1980
AU_13099	University of California, Davis	1980
AU_13100	University of Michigan	1980
AU_13101	University of Toronto	1980
AU_13102	University of Oregon	1980
AU_13103	University of California, Los Angeles	1980
AU_13104	Yale University	1980
AU_13105	University of Illinois	1980
AU_13106	University of Kansas	1980
AU_13107	University of Oklahoma	1980
AU_13108	University of California, Berkeley	1980
AU_13109	University of Pittsburgh	1980
AU_13110	University of California, Berkeley	1980
AU_13111	University of Chicago	1980
AU_13112	Case Western Reserve University	1980
AU_13113	Washington University, St Louis	1980
AU_13114	University of California, Riverside	1980
AU_13115	New York University	1980
AU_13116	Yale University	1980
AU_13117	Ohio State University	1980
AU_13118	University of California, Los Angeles	1981
AU_13119	University of Illinois, Urbana-Champaign	1981
AU_13120	University of Illinois, Urbana-Champaign	1981
AU_13121	Rutgers The State University of New Jersey, New Brunswick	1981
AU_13122	University of California, Los Angeles	1981
AU_13123	University of Arizona	1981
AU_13124	University of Illinois, Chicago	1981
AU_13126	Yale University	1981
AU_13127	Rutgers The State University of New Jersey, New Brunswick	1981
AU_13128	University of Kansas	1981
AU_13129	Rutgers The State University of New Jersey, New Brunswick	1981
AU_16172	University of Massachusetts Amherst	1981
AU_13131	University of Chicago	1981
AU_13132	Columbia University	1981
AU_13133	University of Wisconsin - Madison	1981
AU_13134	Indiana University	1981
AU_13135	University of California, Los Angeles	1981
AU_13136	University of Maryland	1981
AU_13137	Pennsylvania State University	1981
AU_13138	University of Pennsylvania	1981
AU_13139	University of Washington	1981
AU_13140	University of Pittsburgh	1981
AU_13141	University of Pennsylvania	1982
AU_13142	University of Oregon	1982
AU_13143	Columbia University	1982
AU_13144	Michigan State University	1982
AU_13145	Cornell University	1982
AU_13146	Duke University	1982
AU_16182	Duke University	
AU_13147	Texas A&M University	1982
AU_13148	Northwestern University	1982
AU_13149	Northwestern University	1982
AU_13150	Yale University	1982
AU_13151	University College London	1982
AU_13152	Harvard University	1982
AU_13153	University of Toronto	1982
AU_13154	State University of New York, Buffalo	1982
AU_13155	Harvard University	1982
AU_13156	University of California, Los Angeles	1982
AU_13157	University of Texas, Austin	1982
AU_13158	Ohio State University	1982
AU_13159	University of California, Berkeley	1982
AU_13160	University of Illinois, Urbana-Champaign	1982
AU_13161	University of Wisconsin - Madison	1982
AU_13162	University of California, Davis	1982
AU_13163	University of Tennessee	1982
AU_13164	Texas A&M University	1982
AU_13165	Arizona State University	1982
AU_13166	Harvard University	1982
AU_13167	University of Massachusetts, Amherst	1983
AU_13168	University of Michigan	1983
AU_13169	Ohio State University	1983
AU_13170	Auckland University of Technology	1983
AU_13171	University of Michigan	1983
AU_13172	Wayne State University	1983
AU_13173	University of Washington	1983
AU_13174	University of Tennessee	1983
AU_13175	University of Chicago	1983
AU_13176	University of Texas, Austin	1983
AU_13177	University of California, Berkeley	1983
AU_13178	Georg-August-Universität Göttingen	1983
AU_13179	University of Florida	1983
AU_13180	University of California, Berkeley	1983
AU_13181	Ohio State University	1984
AU_13182	Yale University	1984
AU_13183	University of Chicago	1984
AU_13184	State University of New York, Buffalo	1984
AU_13185	Ohio State University	1984
AU_13186	York University	1984
AU_13187	Emory University	1984
AU_13188	Ohio State University	1984
AU_13189	New York University	1984
AU_13190	Harvard University	1984
AU_13191	University of Arizona	1984
AU_13192	Ohio State University	1984
AU_13193	University of Kansas	1984
AU_13194	Washington State University	1984
AU_13195	Wayne State University	1984
AU_13196	McGill University	1984
AU_13197	University of California, Davis	1984
AU_13198	Yale University	1984
AU_13199	University of Michigan	1984
AU_13200	Yale University	1984
AU_13201	Indiana University	1985
AU_13202	University of Wisconsin - Madison	1985
AU_13203	University of California, Berkeley	1985
AU_13204	University of California, Davis	1985
AU_13205	University of Washington	1985
AU_13206	University of California, Los Angeles	1985
AU_13207	Ohio State University	1985
AU_13208	York University	1985
AU_13209	University of Wisconsin - Milwaukee	1985
AU_13210	University of Colorado, Boulder	1985
AU_13211	Wayne State University	1985
AU_13212	State University of New York, Brooklyn Scool of Medicine	1985
AU_13213	New York University	1985
AU_13214	Washington State University	1985
AU_13215	University of Missouri, Columbia	1985
AU_13216	Washington State University	1985
AU_13217	University of California, Los Angeles	1985
AU_13218	Indiana University	1985
AU_13219	City University of New York	1985
AU_13220	University of Pennsylvania	1985
AU_13221	University of Massachusetts, Amherst	1985
AU_13222	University of California, Santa Cruz	1985
AU_13223	University of Michigan	1985
AU_13224	Harvard University	1985
AU_13225	University of Oregon	1985
AU_16196	University of Oregon	
AU_13226	University of Nevada, Reno	1986
AU_13227	University of California, Davis	1986
AU_13228	Yale University	1986
AU_13229	University of California, Berkeley	1986
AU_13230	University of New Mexico	1986
AU_13231	Wayne State University	1986
AU_13232	University of Texas, Austin	1986
AU_13233	Washington University, St Louis	1986
AU_13234	University of California, Irvine	1986
AU_13235	University of Pennsylvania	1986
AU_13236	University of Pittsburgh	1986
AU_13237	State University of New York, Stony Brook	1986
AU_13238	State University of New York, Stony Brook	1986
AU_13239	University of Massachusetts Amherst	1986
AU_13240	University of Michigan	1986
AU_13241	University of California, Davis	1986
AU_13242	Duke University	1986
AU_13243	University of California, Berkeley	1986
AU_13244	Harvard University	1986
AU_13245	University of Illinois, Urbana-Champaign	1986
AU_13246	Duke University	1986
AU_13247	University of North Carolina, Greensboro	1986
AU_13248	Tulane University	1986
AU_13249	Western Michigan University	1986
AU_16199	University of California, Los Angeles	1986
AU_13251	Kent State University	1986
AU_13252	University of Michigan	1986
AU_13253	University of Washington	1987
AU_13254	University of Pennsylvania	1987
AU_13255	University of Illinois, Chicago	1987
AU_13256	University of South Carolina	1987
AU_13257	New York University	1987
AU_13258	Ohio State University	1987
AU_13259	Arizona State University	1987
AU_13260	University of Pittsburgh	1987
AU_13261	Indiana University	1987
AU_13262	Wayne State University	1987
AU_13263	University of Utah	1987
AU_13264	New York University	1987
AU_13265	Wayne State University	1987
AU_13266	Cornell University	1987
AU_13267	Indiana University	1987
AU_13268	University of Washington	1987
AU_13269	University of California, Los Angeles	1987
AU_13270	Washington State University	1987
AU_13271	University of Toronto	1987
AU_13272	University of Wyoming	1987
AU_13273	University of Alberta	1988
AU_13274	Emory University	1988
AU_13275	Pennsylvania State University	1988
AU_13276	University of California, Berkeley	1988
AU_13277	Cornell University	1988
AU_13278	American University	1988
AU_13279	Universitat Autonoma de Barcelona	1988
AU_13280	Wayne State University	1988
AU_13281	Arizona State University	1988
AU_13282	Indiana University	1988
AU_13283	State University of New York, Stony Brook	1988
AU_13284	Boston University	1988
AU_13285	University of Colorado, Boulder	1988
AU_13286	University of California, Berkeley	1989
AU_13287	University of Toronto	1989
AU_13288	University of Florida	1989
AU_13289	University of Oklahoma	1989
AU_13290	Yale University	1989
AU_13291	University of Stirling	1989
AU_13292	University of Pennsylvania	1989
AU_13293	Northwestern University	1989
AU_16215	University of Michigan	1989
AU_13294	University of Michigan	
AU_13295	Indiana University	1989
AU_13296	Yale University	1989
AU_13297	University of Tennessee	1989
AU_13298	Emory University	1989
AU_13299	Pennsylvania State University	1989
AU_13300	Columbia University	1989
AU_13301	University of Alberta	1989
AU_13302	State University of New York, Stony Brook	1989
AU_13303	University of Miami	1989
AU_13304	Kent State University	1989
AU_13305	Binghampton University	1989
AU_13306	University of California, Berkeley	1989
AU_13307	Stanford University	1989
AU_13308	City University of New York	1989
AU_13309	Northwestern University	1989
AU_13310	University of Florida	1990
AU_13311	Columbia University	1990
