Examiner_id	Author_id	Examiner_Affilition (if different)
Merge_00009	AU_15722	Arizona State University
TempID_1	AU_16310	
AU_16319	AU_16244	
AU_16319	AU_13836	University of Wisconsin - Madison
AU_16319	AU_13507	City University of New York
AU_16319	AU_13520	University of Wisconsin - Madison
AU_16319	AU_14881	University of Wisconsin - Madison
AU_16319	AU_13639	University of Wisconsin - Madison
AU_16319	AU_13739	University of Wisconsin - Madison
AU_16319	AU_13782	University of Wisconsin - Madison
AU_16319	AU_13751	University of Wisconsin - Madison
AU_16319	AU_15031	University of Wisconsin - Madison
AU_16319	AU_15790	University of Wisconsin - Madison
Merge_00020	AU_15626	University of California, Davis
Merge_00022	AU_13289	University of Oklahoma
Merge_00022	AU_13547	University of Oklahoma
Merge_00024	AU_14425	Boston University
Merge_00024	AU_15749	Boston University
Merge_00027	AU_13157	University of Texas, Austin
Merge_00028	AU_13186	York University
AU_14300	AU_14763	University of Illinois, Chicago
Merge_00030	AU_15073	Oklahoma State University
Merge_00032	AU_13273	University of Alberta
Merge_00033	AU_14157	State University of New York, Stony Brook
Merge_00034	AU_14799	Capella University
AU_13645	AU_15060	University of Iowa
Merge_00036	AU_13834	Emory University
Merge_00037	AU_13967	Dalhousie University
Merge_00038	AU_13392	University of Rochester
Merge_00039	AU_14948	University of Maryland, College Park
Merge_00040	AU_14271	University of Western Ontario
Merge_00041	AU_14041	University of California, Los Angeles
Merge_00042	AU_14388	University of Missouri, Columbia
TempID_3	AU_16502	
TempID_3	AU_16502	
Merge_00044	AU_15229	University of Waterloo
Merge_00045	AU_15535	Michigan State University
Merge_00047	AU_15535	Michigan State University
AU_13904	AU_15210	University of California, Berkeley
AU_13904	AU_15598	University of California, Berkeley
Merge_00052	AU_14407	State University of New York, Buffalo
Merge_00053	AU_15139	Tulane University
Merge_00055	AU_15108	University of Pennsylvania
Merge_00057	AU_15669	University of Toronto
Merge_00058	AU_15062	University of Michigan
Merge_00059	AU_14390	Columbia University
Merge_00060	AU_15233	Rutgers The State University of New Jersey, New Brunswick
Merge_00061	AU_13204	University of California, Davis
Merge_00062	AU_14387	University of Puerto Rico, Rio Piedras
Merge_00063	AU_15378	New York University
Merge_00064	AU_15235	State University of New York, Stony Brook
