ID	supervised	examined	N_own_students_examined
3407	1	0	0
3408	1	0	0
AU_13000	0	1	1
AU_13001	0	0	0
AU_13002	0	0	0
AU_13003	0	0	0
AU_13004	0	0	0
AU_13005	0	0	0
AU_13006	8	14	6
AU_13007	0	0	0
AU_13008	0	0	0
AU_13009	0	0	0
AU_13010	1	4	3
AU_13011	0	0	0
AU_13012	0	0	0
AU_13013	0	0	0
AU_13014	0	1	1
AU_13015	0	2	2
AU_13016	0	0	0
AU_13017	8	19	13
AU_13018	0	0	0
AU_13019	0	3	3
AU_13020	0	0	0
AU_13021	0	0	0
AU_13022	0	0	0
AU_13023	0	0	0
AU_13024	12	32	23
AU_13025	1	0	0
AU_13026	0	0	0
AU_13027	0	0	0
AU_13028	0	0	0
AU_13029	0	0	0
AU_13030	0	0	0
AU_13031	0	0	0
AU_13032	1	2	2
AU_13033	0	0	0
AU_13034	0	0	0
AU_13035	0	1	1
AU_13036	1	8	8
AU_13037	0	0	0
AU_13038	0	0	0
AU_13039	0	0	0
AU_13040	0	1	1
AU_13041	0	0	0
AU_13042	0	0	0
AU_13043	0	0	0
AU_13044	4	3	2
AU_13045	0	0	0
AU_13046	0	1	1
AU_13047	11	16	7
AU_13048	0	0	0
AU_13049	0	0	0
AU_13050	0	0	0
AU_13051	0	0	0
AU_13052	0	0	0
AU_13053	2	0	0
AU_13054	1	4	3
AU_13055	0	0	0
AU_13056	0	0	0
AU_13057	0	0	0
AU_13058	0	0	0
AU_13059	0	0	0
AU_13060	4	38	35
AU_13061	0	1	1
AU_13062	0	1	1
AU_13063	0	0	0
AU_13064	0	0	0
AU_13065	0	0	0
AU_13066	0	0	0
AU_13067	0	0	0
AU_13068	0	0	0
AU_13069	0	0	0
AU_13070	0	0	0
AU_13071	1	1	0
AU_13072	0	0	0
AU_13073	0	1	1
AU_13074	0	0	0
AU_13075	0	1	1
AU_13076	0	0	0
AU_13077	0	0	0
AU_13078	0	0	0
AU_13079	0	0	0
AU_13080	0	0	0
AU_13081	0	0	0
AU_13082	0	0	0
AU_13083	0	0	0
AU_13084	0	0	0
AU_13085	3	6	3
AU_13086	0	0	0
AU_13087	0	0	0
AU_13088	1	22	21
AU_13089	0	0	0
AU_13090	0	0	0
AU_13091	0	0	0
AU_13092	0	0	0
AU_13093	0	0	0
AU_13094	0	0	0
AU_13095	0	0	0
AU_13096	0	0	0
AU_13097	0	0	0
AU_13098	2	7	5
AU_13099	0	0	0
AU_13100	0	0	0
AU_13101	0	0	0
AU_13102	0	0	0
AU_13103	0	0	0
AU_13104	0	0	0
AU_13105	0	0	0
AU_13106	2	7	5
AU_13107	0	0	0
AU_13108	0	0	0
AU_13109	3	7	6
AU_13110	0	0	0
AU_13111	0	0	0
AU_13112	0	0	0
AU_13113	9	18	10
AU_13114	0	0	0
AU_13115	0	0	0
AU_13116	0	0	0
AU_13117	0	0	0
AU_13118	0	0	0
AU_13119	2	4	3
AU_13120	0	1	1
AU_13121	0	0	0
AU_13122	0	0	0
AU_13123	0	0	0
AU_13124	0	0	0
AU_13126	9	17	10
AU_13127	0	0	0
AU_13128	0	0	0
AU_13129	0	0	0
AU_13131	0	2	2
AU_13132	0	0	0
AU_13133	0	5	5
AU_13134	0	0	0
AU_13135	0	1	1
AU_13136	0	0	0
AU_13137	0	0	0
AU_13138	7	15	12
AU_13139	0	9	9
AU_13140	0	0	0
AU_13141	0	0	0
AU_13142	0	0	0
AU_13143	0	0	0
AU_13144	1	4	3
AU_13145	0	0	0
AU_13146	5	10	7
AU_13147	0	6	6
AU_13148	0	0	0
AU_13149	0	0	0
AU_13150	0	0	0
AU_13151	11	23	14
AU_13152	3	11	8
AU_13153	0	0	0
AU_13154	0	0	0
AU_13155	0	0	0
AU_13156	0	0	0
AU_13157	0	0	0
AU_13158	0	0	0
AU_13159	2	4	4
AU_13160	0	0	0
AU_13161	3	10	8
AU_13162	0	1	1
AU_13163	0	1	1
AU_13164	0	0	0
AU_13165	0	0	0
AU_13166	0	1	1
AU_13167	1	1	0
AU_13168	1	2	1
AU_13169	0	0	0
AU_13170	0	0	0
AU_13171	0	0	0
AU_13172	0	0	0
AU_13173	0	0	0
AU_13174	0	0	0
AU_13175	11	18	10
AU_13176	0	0	0
AU_13177	0	0	0
AU_13178	0	0	0
AU_13179	0	0	0
AU_13180	0	0	0
AU_13181	0	0	0
AU_13182	0	0	0
AU_13183	0	0	0
AU_13184	0	0	0
AU_13185	0	0	0
AU_13186	0	0	0
AU_13187	0	0	0
AU_13188	0	0	0
AU_13189	0	0	0
AU_13190	0	0	0
AU_13191	1	0	0
AU_13192	0	1	1
AU_13193	0	0	0
AU_13194	0	0	0
AU_13195	0	0	0
AU_13196	0	0	0
AU_13197	6	25	20
AU_13198	0	1	1
AU_13199	0	0	0
AU_13200	0	0	0
AU_13201	0	0	0
AU_13202	0	0	0
AU_13203	0	0	0
AU_13204	0	0	0
AU_13205	0	0	0
AU_13206	0	0	0
AU_13207	0	0	0
AU_13208	0	0	0
AU_13209	0	0	0
AU_13210	0	0	0
AU_13211	0	0	0
AU_13212	0	0	0
AU_13213	0	0	0
AU_13214	0	0	0
AU_13215	0	0	0
AU_13216	0	0	0
AU_13217	0	0	0
AU_13218	0	0	0
AU_13219	16	35	21
AU_13220	0	0	0
AU_13221	0	0	0
AU_13222	0	0	0
AU_13223	0	0	0
AU_13224	0	0	0
AU_13225	0	0	0
AU_13226	0	0	0
AU_13227	0	1	1
AU_13228	0	2	2
AU_13229	5	9	4
AU_13230	0	0	0
AU_13231	0	0	0
AU_13232	0	0	0
AU_13233	0	0	0
AU_13234	0	0	0
AU_13235	0	0	0
AU_13236	0	0	0
AU_13237	0	0	0
AU_13238	0	0	0
AU_13239	0	0	0
AU_13240	0	0	0
AU_13241	0	0	0
AU_13242	9	37	28
AU_13243	2	2	1
AU_13244	6	23	19
AU_13245	0	0	0
AU_13246	0	2	2
AU_13247	0	0	0
AU_13248	0	0	0
AU_13249	0	0	0
AU_13251	8	12	4
AU_13252	0	1	1
AU_13253	0	0	0
AU_13254	5	8	6
AU_13255	0	0	0
AU_13256	0	0	0
AU_13257	1	3	3
AU_13258	0	0	0
AU_13259	0	0	0
AU_13260	0	0	0
AU_13261	0	0	0
AU_13262	0	0	0
AU_13263	0	0	0
AU_13264	0	0	0
AU_13265	0	0	0
AU_13266	0	7	7
AU_13267	0	0	0
AU_13268	0	0	0
AU_13269	3	4	1
AU_13270	0	0	0
AU_13271	0	0	0
AU_13272	0	0	0
AU_13273	0	1	1
AU_13274	0	0	0
AU_13275	0	0	0
AU_13276	0	0	0
AU_13277	0	0	0
AU_13278	0	0	0
AU_13279	0	0	0
AU_13280	0	0	0
AU_13281	0	0	0
AU_13282	0	0	0
AU_13283	0	0	0
AU_13284	0	0	0
AU_13285	0	0	0
AU_13286	4	3	2
AU_13287	0	0	0
AU_13288	1	2	1
AU_13289	0	1	1
AU_13290	0	0	0
AU_13291	0	0	0
AU_13292	0	0	0
AU_13293	0	0	0
AU_13294	4	11	8
AU_13295	0	0	0
AU_13296	0	4	4
AU_13297	0	2	2
AU_13298	0	0	0
AU_13299	0	0	0
AU_13300	0	0	0
AU_13301	0	0	0
AU_13302	2	5	3
AU_13303	0	0	0
AU_13304	0	0	0
AU_13305	0	0	0
AU_13306	0	0	0
AU_13307	0	0	0
AU_13308	0	3	3
AU_13309	4	8	4
AU_13310	0	0	0
AU_13311	0	0	0
AU_13312	0	0	0
AU_13313	0	0	0
AU_13314	0	1	1
AU_13315	0	0	0
AU_13316	0	0	0
AU_13317	0	0	0
AU_13318	0	0	0
AU_13319	0	0	0
AU_13320	0	0	0
AU_13321	0	0	0
AU_13322	0	0	0
AU_13323	2	9	8
AU_13324	0	0	0
AU_13325	1	3	3
AU_13326	0	0	0
AU_13327	0	0	0
AU_13328	0	0	0
AU_13329	0	0	0
AU_13330	0	0	0
AU_13331	0	0	0
AU_13332	0	0	0
AU_13333	0	0	0
AU_13334	0	0	0
AU_13335	0	1	1
AU_13336	0	0	0
AU_13337	0	0	0
AU_13338	0	0	0
AU_13339	0	1	1
AU_13340	0	0	0
AU_13341	0	0	0
AU_13342	0	0	0
AU_13343	0	0	0
AU_13344	0	0	0
AU_13345	4	11	8
AU_13346	0	0	0
AU_13347	0	0	0
AU_13348	0	0	0
AU_13349	0	0	0
AU_13350	0	0	0
AU_13351	0	0	0
AU_13352	1	5	4
AU_13353	0	0	0
AU_13354	0	0	0
AU_13355	0	0	0
AU_13356	0	0	0
AU_13357	1	1	0
AU_13358	0	0	0
AU_13359	4	12	8
AU_13360	0	0	0
AU_13361	0	0	0
AU_13362	0	0	0
AU_13363	0	0	0
AU_13364	0	0	0
AU_13365	0	0	0
AU_13366	4	6	3
AU_13367	0	0	0
AU_13368	0	0	0
AU_13369	1	1	0
AU_13370	0	0	0
AU_13371	0	0	0
AU_13372	0	0	0
AU_13373	0	0	0
AU_13374	0	0	0
AU_13375	0	0	0
AU_13376	0	2	2
AU_13377	0	0	0
AU_13378	0	0	0
AU_13379	0	0	0
AU_13380	8	42	34
AU_13381	0	0	0
AU_13382	0	0	0
AU_13383	0	0	0
AU_13384	5	7	3
AU_13385	0	0	0
AU_13386	0	0	0
AU_13387	0	0	0
AU_13388	2	7	6
AU_13389	0	0	0
AU_13390	0	0	0
AU_13391	1	3	3
AU_13392	0	0	0
AU_13393	0	0	0
AU_13394	0	0	0
AU_13395	0	0	0
AU_13396	0	0	0
AU_13397	0	0	0
AU_13398	0	0	0
AU_13399	0	2	2
AU_13400	2	0	0
AU_13401	0	0	0
AU_13402	0	0	0
AU_13403	0	0	0
AU_13404	1	7	6
AU_13405	0	0	0
AU_13406	0	0	0
AU_13407	0	0	0
AU_13408	0	0	0
AU_13409	0	0	0
AU_13410	0	0	0
AU_13411	0	0	0
AU_13412	2	5	4
AU_13413	0	0	0
AU_13414	0	0	0
AU_13415	0	0	0
AU_13416	0	0	0
AU_13417	0	1	1
AU_13418	0	0	0
AU_13419	2	4	2
AU_13420	0	0	0
AU_13421	0	0	0
AU_13422	0	0	0
AU_13423	0	0	0
AU_13424	4	9	5
AU_13425	0	0	0
AU_13426	0	0	0
AU_13427	0	0	0
AU_13428	0	0	0
AU_13429	0	1	1
AU_13430	0	0	0
AU_13431	0	0	0
AU_13432	0	0	0
AU_13433	2	5	3
AU_13434	0	0	0
AU_13435	0	0	0
AU_13436	0	0	0
AU_13437	0	0	0
AU_13438	0	0	0
AU_13439	1	2	1
AU_13440	0	0	0
AU_13441	0	2	2
AU_13442	0	0	0
AU_13443	0	2	2
AU_13444	0	0	0
AU_13445	0	0	0
AU_13446	0	0	0
AU_13447	0	7	7
AU_13448	0	0	0
AU_13449	0	0	0
AU_13450	0	0	0
AU_13451	0	0	0
AU_13452	0	0	0
AU_13453	2	4	3
AU_13454	0	5	5
AU_13455	0	3	3
AU_13456	4	11	7
AU_13457	0	2	2
AU_13458	0	0	0
AU_13459	3	8	5
AU_13460	0	0	0
AU_13461	0	0	0
AU_13462	0	0	0
AU_13463	0	0	0
AU_13464	0	0	0
AU_13465	0	0	0
AU_13466	0	1	1
AU_13467	2	4	2
AU_13468	4	6	2
AU_13469	0	0	0
AU_13470	0	0	0
AU_13471	0	0	0
AU_13472	0	0	0
AU_13473	0	2	2
AU_13474	0	0	0
AU_13475	0	0	0
AU_13476	0	3	3
AU_13477	0	0	0
AU_13478	0	0	0
AU_13479	0	0	0
AU_13480	0	0	0
AU_13481	0	0	0
AU_13482	0	0	0
AU_13483	0	0	0
AU_13484	0	0	0
AU_13485	1	4	3
AU_13486	0	2	2
AU_13487	0	0	0
AU_13488	2	3	1
AU_13489	0	0	0
AU_13490	0	0	0
AU_13491	0	2	2
AU_13492	0	0	0
AU_13493	0	4	4
AU_13494	0	0	0
AU_13495	0	0	0
AU_13496	1	6	5
AU_13497	0	0	0
AU_13498	3	8	5
AU_13499	0	0	0
AU_13500	0	0	0
AU_13501	0	2	2
AU_13502	0	0	0
AU_13503	0	0	0
AU_13504	0	0	0
AU_13505	0	0	0
AU_13506	4	14	10
AU_13507	0	4	4
AU_13508	0	1	1
AU_13509	0	0	0
AU_13510	0	0	0
AU_13511	0	2	2
AU_13512	0	0	0
AU_13513	0	0	0
AU_13514	0	0	0
AU_13515	0	0	0
AU_13516	0	0	0
AU_13517	0	0	0
AU_13518	0	0	0
AU_13519	0	0	0
AU_13520	0	0	0
AU_13521	0	0	0
AU_13522	0	0	0
AU_13523	0	0	0
AU_13524	0	0	0
AU_13525	0	0	0
AU_13526	0	1	1
AU_13527	0	0	0
AU_13528	0	0	0
AU_13529	0	0	0
AU_13530	0	3	3
AU_13531	0	2	2
AU_13532	0	0	0
AU_13533	0	0	0
AU_13534	0	0	0
AU_13535	0	0	0
AU_13536	0	0	0
AU_13537	0	1	1
AU_13538	0	0	0
AU_13539	0	0	0
AU_13540	0	0	0
AU_13541	0	0	0
AU_13542	0	0	0
AU_13543	0	0	0
AU_13544	0	0	0
AU_13545	0	1	1
AU_13546	0	0	0
AU_13547	0	0	0
AU_13548	0	1	1
AU_13549	0	0	0
AU_13551	0	0	0
AU_13552	0	0	0
AU_13553	0	0	0
AU_13554	0	0	0
AU_13555	0	0	0
AU_13556	0	0	0
AU_13557	0	2	2
AU_13558	0	0	0
AU_13559	1	3	2
AU_13560	0	0	0
AU_13561	0	0	0
AU_13562	0	0	0
AU_13563	0	0	0
AU_13564	0	1	1
AU_13565	0	0	0
AU_13566	7	33	27
AU_13567	0	0	0
AU_13568	1	8	8
AU_13569	0	0	0
AU_13570	0	0	0
AU_13571	0	1	1
AU_13572	0	0	0
AU_13573	0	0	0
AU_13574	0	0	0
AU_13575	0	0	0
AU_13576	0	0	0
AU_13577	0	0	0
AU_13578	0	0	0
AU_13579	0	0	0
AU_13580	0	0	0
AU_13581	0	1	1
AU_13582	0	2	2
AU_13583	0	0	0
AU_13584	0	0	0
AU_13585	0	1	1
AU_13586	0	0	0
AU_13587	0	0	0
AU_13588	0	0	0
AU_13589	0	0	0
AU_13590	0	0	0
AU_13591	0	0	0
AU_13592	0	0	0
AU_13593	0	0	0
AU_13594	0	0	0
AU_13595	0	0	0
AU_13596	0	0	0
AU_13597	0	0	0
AU_13598	0	0	0
AU_13599	0	0	0
AU_13600	0	0	0
AU_13601	0	0	0
AU_13602	0	0	0
AU_13603	5	11	7
AU_13604	0	0	0
AU_13605	0	1	1
AU_13606	9	0	0
AU_13607	0	0	0
AU_13608	0	0	0
AU_13609	0	0	0
AU_13610	0	2	2
AU_13611	0	0	0
AU_13612	0	0	0
AU_13613	0	0	0
AU_13614	0	0	0
AU_13615	0	0	0
AU_13616	0	0	0
AU_13617	0	0	0
AU_13618	0	0	0
AU_13619	0	0	0
AU_13620	0	0	0
AU_13621	0	0	0
AU_13622	0	0	0
AU_13623	0	0	0
AU_13624	0	0	0
AU_13625	0	0	0
AU_13626	0	0	0
AU_13627	0	0	0
AU_13628	0	0	0
AU_13629	0	0	0
AU_13630	0	3	3
AU_13631	0	0	0
AU_13632	1	1	0
AU_13633	0	0	0
AU_13634	0	0	0
AU_13635	0	0	0
AU_13636	0	0	0
AU_13637	1	3	2
AU_13638	0	0	0
AU_13639	0	0	0
AU_13640	0	0	0
AU_13641	0	0	0
AU_13642	0	0	0
AU_13643	0	0	0
AU_13644	1	4	3
AU_13645	0	1	1
AU_13646	0	0	0
AU_13647	0	0	0
AU_13648	0	0	0
AU_13650	0	0	0
AU_13651	0	0	0
AU_13652	2	3	2
AU_13653	0	0	0
AU_13654	0	0	0
AU_13655	0	0	0
AU_13656	0	0	0
AU_13657	0	0	0
AU_13658	0	0	0
AU_13659	0	0	0
AU_13660	0	0	0
AU_13661	0	0	0
AU_13662	0	0	0
AU_13663	0	0	0
AU_13664	0	0	0
AU_13665	0	0	0
AU_13666	0	0	0
AU_13667	0	0	0
AU_13668	0	10	10
AU_13669	1	1	0
AU_13670	0	0	0
AU_13671	0	0	0
AU_13672	0	0	0
AU_13673	0	0	0
AU_13674	0	0	0
AU_13675	0	0	0
AU_13676	0	0	0
AU_13677	0	0	0
AU_13678	1	4	4
AU_13679	0	0	0
AU_13680	0	0	0
AU_13681	0	0	0
AU_13682	0	0	0
AU_13683	0	0	0
AU_13684	0	0	0
AU_13685	0	4	4
AU_13686	0	1	1
AU_13687	0	0	0
AU_13688	0	0	0
AU_13689	0	0	0
AU_13690	0	0	0
AU_13691	0	2	2
AU_13692	0	0	0
AU_13693	0	0	0
AU_13694	0	0	0
AU_13695	0	0	0
AU_13696	0	0	0
AU_13697	0	5	5
AU_13698	0	0	0
AU_13699	1	0	0
AU_13700	1	3	2
AU_13701	0	0	0
AU_13702	0	1	1
AU_13703	0	0	0
AU_13704	0	0	0
AU_13705	0	0	0
AU_13706	0	0	0
AU_13707	0	0	0
AU_13708	0	0	0
AU_13709	3	3	0
AU_13710	0	0	0
AU_13711	0	0	0
AU_13712	0	0	0
AU_13713	0	0	0
AU_13714	0	0	0
AU_13715	0	0	0
AU_13716	0	0	0
AU_13717	0	0	0
AU_13718	0	0	0
AU_13719	0	0	0
AU_13720	1	3	3
AU_13721	0	0	0
AU_13722	0	0	0
AU_13723	0	0	0
AU_13724	0	0	0
AU_13725	0	0	0
AU_13726	0	0	0
AU_13727	0	0	0
AU_13728	0	0	0
AU_13729	0	5	5
AU_13730	0	2	2
AU_13731	0	0	0
AU_13732	0	0	0
AU_13733	0	0	0
AU_13734	0	0	0
AU_13735	0	0	0
AU_13736	0	0	0
AU_13737	0	0	0
AU_13739	0	0	0
AU_13740	0	0	0
AU_13741	0	1	1
AU_13742	0	0	0
AU_13743	0	0	0
AU_13744	1	1	0
AU_13745	0	0	0
AU_13746	0	2	2
AU_13747	0	0	0
AU_13748	0	0	0
AU_13749	0	0	0
AU_13750	0	0	0
AU_13751	0	0	0
AU_13752	0	0	0
AU_13753	0	0	0
AU_13754	0	0	0
AU_13755	0	0	0
AU_13756	0	0	0
AU_13757	0	0	0
AU_13758	0	0	0
AU_13759	0	0	0
AU_13760	0	0	0
AU_13761	1	4	3
AU_13762	0	0	0
AU_13763	0	0	0
AU_13764	0	0	0
AU_13765	0	0	0
AU_13766	0	0	0
AU_13767	0	0	0
AU_13768	0	0	0
AU_13769	0	0	0
AU_13770	0	0	0
AU_13771	0	0	0
AU_13772	0	1	1
AU_13773	0	0	0
AU_13774	0	0	0
AU_13775	0	0	0
AU_13777	0	0	0
AU_13778	0	0	0
AU_13779	0	0	0
AU_13780	0	1	1
AU_13781	0	0	0
AU_13782	0	0	0
AU_13783	0	0	0
AU_13784	0	0	0
AU_13785	0	0	0
AU_13786	0	3	3
AU_13787	0	0	0
AU_13788	0	0	0
AU_13789	0	0	0
AU_13790	0	0	0
AU_13791	0	2	2
AU_13792	0	0	0
AU_13793	0	0	0
AU_13794	0	0	0
AU_13795	0	0	0
