Supervisor_id	Author_id	Supervisor_Affilition (if different)
Merge_00020	AU_15626	University of California, Davis
Merge_00024	AU_14425	Boston University
Merge_00030	AU_15073	Oklahoma State University
TempID_3	AU_16478	
TempID_3	AU_16502	
Merge_00043	AU_15130	California Institute of Technology
Merge_00045	AU_15535	Michigan State University
AU_13904	AU_15210	University of California, Berkeley
AU_13904	AU_15598	University of California, Berkeley
Merge_00053	AU_15139	Tulane University
Merge_00055	AU_15108	University of Pennsylvania
AU_16237	AU_15316	Duke University
AU_16237	AU_15223	Duke University
AU_16237	AU_15552	Duke University
Merge_00079	AU_13661	York University
Merge_00086	AU_14938	Syracuse University
Merge_00092	AU_13513	University of Aberdeen
Merge_00095	AU_14002	University of Michigan
Merge_00095	AU_13325	University of Michigan
Merge_00103	AU_13300	Columbia University
Merge_00110	AU_14600	Indiana University
Merge_00119	AU_14250	University of Wisconsin - Madison
Merge_00123	AU_14178	University of Arizona
AU_16173	AU_16191	
AU_16173	AU_16237	
AU_16173	AU_16253	
AU_16173	AU_16286	
AU_16173	AU_16298	
AU_16173	AU_13590	University of Chicago
AU_16173	AU_15498	Princeton University
AU_16173	AU_15646	Princeton University
AU_16072	AU_16180	
AU_16072	AU_16200	
AU_16072	AU_16201	
AU_16072	AU_16464	
AU_16072	AU_16513	
AU_16072	AU_16568	
AU_16072	AU_16158	
Merge_00155	AU_15588	University of Alberta
Merge_00162	AU_15461	Arizona State University
TempID_11	AU_16239	Massachusetts Institute of Technology
Merge_00173	AU_14654	University of California, Davis
Merge_00175	AU_13627	Indiana University
TempID_12	AU_16360	
Merge_00186	AU_13393	University of Michigan
Merge_00189	AU_15115	Washington State University
Merge_00191	AU_14482	Tulane University
Merge_00198	AU_13602	University of Kansas
Merge_00199	AU_13809	Emory University
Merge_00203	AU_14899	Colorado State University
AU_13456	AU_13897	University of Florida
AU_13456	AU_14666	Rutgers The State University of New Jersey, New Brunswick
AU_13456	AU_15444	New York University
AU_13456	AU_15378	New York University
Merge_00223	AU_14523	Northern Illinois University
Merge_00231	AU_14685	Georgia Institute of Technology
Merge_00236	AU_13879	University of Massachusetts, Amherst
Merge_00236	AU_16172	University of Massachusetts, Amherst
Merge_00236	AU_13167	University of Massachusetts, Amherst
Merge_00236	AU_13221	University of Massachusetts, Amherst
Merge_00236	AU_13322	University of Massachusetts, Amherst
Merge_00236	AU_13314	University of Massachusetts, Amherst
Merge_00236	AU_14961	Emory University
Merge_00236	AU_15294	Emory University
TempID_16	AU_16248	
Merge_00256	AU_14786	University of Colorado, Boulder
Merge_00266	AU_14914	University of Minnesota
Merge_00269	AU_14670	State University of New York, Stony Brook
Merge_00275	AU_14879	Saint Louis University
Merge_00287	AU_14272	Yale University
Merge_00307	AU_14077	University of Illinois, Urbana-Champaign
TempID_18	AU_16364	
Merge_00313	AU_14943	Colorado State University
Merge_00319	AU_15292	Fielding Graduate University
Merge_00321	AU_15413	Emory University
Merge_00325	AU_14336	Vanderbilt University
Merge_00331	AU_15081	University of Arizona
Merge_00333	AU_13317	Temple University
Merge_00336	AU_15557	Missouri University of Science and Technology
Merge_00340	AU_15154	New Mexico State University
Merge_00342	AU_14662	George Mason University
Merge_00344	AU_14862	University of Hawai'i, Manoa
Merge_00350	AU_15385	University of Illinois, Urbana-Champaign
Merge_00355	AU_13208	York University
Merge_00359	AU_14805	Arizona State University
Merge_00359	AU_14756	Arizona State University
Merge_00359	AU_14441	Arizona State University
Merge_00359	AU_14609	Arizona State University
Merge_00370	AU_13137	Pennsylvania State University
Merge_00370	AU_13299	Pennsylvania State University
Merge_00381	AU_14867	Florida Atlantic University
Merge_00385	AU_13737	Tulane University
AU_13828	AU_15156	University of California, Davis
AU_13828	AU_15411	University of California, Davis
Merge_00393	AU_13841	Texas A&M University
Merge_00395	AU_15231	Ohio University
Merge_00404	AU_15642	State University of New York, Buffalo
TempID_23	AU_16406	
Merge_00412	AU_13082	University of Illinois, Urbana-Champaign
TempID_24	AU_16405	Northwest University China
Merge_00418	AU_13786	Harvard University
Merge_00427	AU_13307	Stanford University
Merge_00431	AU_14406	University of Guelph
Merge_00438	AU_15409	University of Kansas
Merge_00445	AU_13807	University of British Columbia
Merge_00447	AU_15096	University of California, Berkeley
Merge_00447	AU_15556	University of California, Berkeley
Merge_00453	AU_14188	Wayne State University
Merge_00456	AU_15275	University of California, Los Angeles
Merge_00466	AU_13247	University of North Carolina, Greensboro
Merge_00469	AU_14256	University of California, Berkeley
Merge_00479	AU_15721	University of California, Davis
Merge_00490	AU_14091	Southern Illinois University, Carbondale
AU_13700	AU_15839	University of Texas at San Antonio
Merge_00496	AU_14882	University of Texas, Austin
Merge_00502	AU_13424	University of Tennessee
Merge_00502	AU_13514	University of Tennessee
Merge_00502	AU_14252	University of Tennessee
Merge_00523	AU_15325	University of Massachusetts, Amherst
Merge_00539	AU_13696	University of Alberta
Merge_00539	AU_14527	University of Alberta
Merge_00545	AU_14655	University of Minnesota
Merge_00545	AU_14464	University of Minnesota
Merge_00551	AU_15467	University of Arkansas
Merge_00555	AU_15844	University of California, San Diego
Merge_00560	AU_14186	University of Arizona
Merge_00567	AU_14637	Pennsylvania State University
Merge_00567	AU_15216	Pennsylvania State University
Merge_00574	AU_14255	University of Nebraska
Merge_00582	AU_15689	University of Minnesota
Merge_00586	AU_13673	St. John's University
